0069,Д и Н,Джон Ф. Мак-Артур,Пастырелогия,Генеральный план для церковного руководства,,,
0070,Д и Н,Джош Макдауэлл,Неоспоримые свидетельства,"Автор отвечает на вопрос, представляет ли Библия правдивый исторический источник",,,
0071,Ист.,Алексей Синичкин,Всё ради миссии,"Книга рассказывает о Редстоке, Пашкове, Бедекере, Делякове и других подвижниках Евангелия. Также автор пишет о процессе возникновения русско-украинского баптизма.",,,
0072,Д и Н,Мартин Ллойд-Джонс,Духовная депрессия,Причины возникновения депрессии и способы избавления от нее,,,
0073,Д и Н,Сюзанна Сперджен,"""Кисть кипера""",Древние истины о безмерной благодати и жертвенной любви,,,
0074,Д и Н,Сюзанна Сперджен,Колокольный перезвон,Автор лирически и глубоко духовно раскрывает проблему страданий и скорбей в жизни христианина,,,
0075,Д и Н,Вернер Гитт, Вопросы первостепенной важности,"Ответы на вопросы, которые волнуют ищущих Бога и сомневающихся скептиков",,,
0076,Д и Н,Дерек Прайм,Пасторы и учители,"Цель книги состоит в том, чтобы проанализировать служение пасторов и учителей в церкви и для общей пользы поделиться опытом и практическими советами. ",,,
0077,Д и Н,Освальд Чемберс,Все мое предельное Господу,Чтения на каждый день,,,
0078,Д и Н,Генри Скугал и Роберт Лейтон,Жизнь Божья с избытком,"Господь Иисус Христос сказал, что Он пришел дать жизнь с избытком всем, кто верует в Него. В своей работе Скугал уделяет особое внимание размышлениям о жизни вечной.",,,
0079,Д и Н,Тимоти Дж. Келлер,Служение милосердия. Твоя дорога в Иерихон,Рассуждения на тему притчи Христовой о добром самарянине в современных американских реалиях,,,
0080,Д и Н,Ада Лум,Одиночество,"Книга посвящена проблемам неженатых и незамужних христиан. Автор во многом исходит из личного опыта, а также из свидетельств других одиноких христиан",,,
0081,Худ.,GBV,Юдифь,Сборник христианских рассказов ,,,
0082,Биогр.,Михаэль П. Халькомб,В узах за Христа,"Бесценные уроки, пройденные христианским пастором в условиях атеистического режима",,,
0083,Д и Н,Вернер Гитт, Вопросы первостепенной важности,"Ответы на вопросы, которые волнуют ищущих Бога и сомневающихся скептиков",,,
0084,Д и Н,Чарльз Колсон,Конфликт царств,"Книга посвящена одной из духовных тем, вопросу про самую высшую власть в жизни христианина",,,
0085,Д и Н,Чарльз Колсон,Любить Бога,Путешествие в самого себя,,,
0086,М и Р,BEE International,Христианское воспитание детей,Курс молодого отца :-),,,
0087,Ист.,Ричард Вурмбранд,Пытаемы за Христа,"Истории людей, гонимых за Христа в советское время на территории стран бывшего соцлагеря ",,,
0088,Д и Н,Павел Гараджа,Слово без маски,"Очерки, статьи, стихотворения о людях, жизнь которых перевернула встреча с Иисусом Христом.",,,
0089,Б и П,Ч. Г. Сперджен,Сила в молитве,"Автор отвечает на вопросы и страхи, которые возникают, когда мы учимся молиться",,,
0090,Худ.,ред. С. А. Черкассов,Сборник христианских стихов,"Беларусское издательство ММП ""Вилия"" Минск, 1999г.",Том 2,,
0091,Толк.,Вернер де Боор,Первое послание к Коринфянам (комментарии),"Вуппертальское изучение Библии (издательство ""Свет та Востоке"")",,,
0092,Худ.,Кристина Рой,Дорогой ценой,"Роман о пути людей ко Христу, к признанию Его своим Господом и Спасителем. На примере жизненных ситуаций автор показывает истиность евангельских заповедей.",,,
0093,Д и Н,Лейтон Талберт,Не случайно,"Божье провидение - прочное основание нашей веры, позволяющее нам с уеренностью воспринимать жизненные трудности и трагедии",,,
0094,Д и Н,Эдвард Т. Уэлч,Зависимости: банкет в могиле,"Автор говорит о зависимости, как об идолопоклонстве, это проблема греховности человеческого сердца. Подобный подход соответствует Писанию и помогает людям духовно расти и изменяться",,,
0095,Д и Н,Эдвард Т. Уэлч,"Когда люди большие, а Бог маленький","Как преодолеть влияние сверстников, созависимость и страх перед людьми",,,
0096,Б и П,Иоахим Лангхаммер,Что будет с этим миром?,Толкование Божьего плана спасения,,,
0097,Б и П,Иоахим Лангхаммер,Что будет с этим миром?,Толкование Божьего плана спасения,,,
0098,Д и Н,Эдвард Т. Уэлч,Депрессия: неотступная тьма,"Будучи написана для страдающих депрессией, эта книга поможет читателям в созидании своих взаимоотношений с Богом и людьми",,,
0099,Худ.,Д.Ф. Левгрен,"""…И их светильники погасли""",История церкви небольшого норвежского города перед вторым пришествием Христа,,,
0100,Д и Н,Стив Маквей,Земля Благодати,"Автор напоминает, что Божья благодать касается всех сфер нашей жизни, даже тайных, глубоко укоренившихся привычек и твердынь.",,,
